slug,region,place_rating,current_images,target_images,gap,licensed_gallery_items,source_urls,technical_review,google_identity_review,status
abano-pass,kakheti,4.0,4,6,2,3,4,pending,pending,pending
abanotubani-sulphur-baths,tbilisi,4.5,2,7,5,1,2,pending,pending,pending
abastumani-observatory,samtskhe-javakheti,3.5,1,4,3,0,1,pending,pending,pending
abudelauri-lakes,mtskheta-mtianeti,5.0,3,8,5,2,3,pending,pending,pending
adishi,samegrelo-zemo-svaneti,4.5,7,7,0,6,7,passed-2026-08-31,verified-2026-08-31,complete
adjara-art-museum,adjara,3.0,1,4,3,0,1,pending,pending,pending
ajameti-managed-reserve,imereti,4.0,2,6,4,1,2,pending,pending,pending
akhali-shuamta,kakheti,3.0,2,4,2,1,2,pending,pending,pending
akhaltsikhe-jewish-quarter,samtskhe-javakheti,3.5,4,4,0,3,4,pending,pending,pending
alaverdi-cathedral,kakheti,3.5,2,4,2,1,2,pending,pending,pending
algeti-national-park,kvemo-kartli,4.0,1,6,5,0,1,pending,pending,pending
ambrolauri,racha-lechkhumi,4.0,4,6,2,3,4,pending,pending,pending
anaklia,samegrelo-zemo-svaneti,4.0,6,6,0,5,6,passed-2026-08-31,verified-2026-08-31,complete
ananuri-fortress,mtskheta-mtianeti,3.5,1,4,3,0,1,pending,pending,pending
anchiskhati-basilica,tbilisi,3.0,1,4,3,0,1,pending,pending,pending
armaztsikhe-bagineti,mtskheta-mtianeti,3.5,2,4,2,1,2,pending,pending,pending
artsivi-eagle-gorge,kakheti,4.5,2,7,5,1,2,pending,pending,pending
askana-fortress,guria,3.5,3,4,1,2,3,pending,pending,pending
asureti,kvemo-kartli,4.0,3,6,3,2,3,pending,pending,pending
ateni-sioni-church,shida-kartli,3.5,4,4,0,3,4,pending,pending,pending
ateni-valley-wine-cellars,shida-kartli,4.0,1,6,5,0,1,pending,pending,pending
atskuri-fortress,samtskhe-javakheti,3.5,4,4,0,3,4,pending,pending,pending
baghdati-mayakovsky-house,imereti,3.0,1,4,3,0,1,pending,pending,pending
bagrati-cathedral,imereti,4.0,4,6,2,3,4,pending,pending,pending
bakhmaro,guria,5.0,4,8,4,3,4,pending,pending,pending
bakuriani-botanical-garden,samtskhe-javakheti,4.0,4,6,2,3,4,pending,pending,pending
bakuriani,samtskhe-javakheti,4.0,2,6,4,1,2,pending,pending,pending
balda-canyon,samegrelo-zemo-svaneti,4.0,6,6,0,5,6,passed-2026-08-31,verified-2026-08-31,complete
barakoni-church,racha-lechkhumi,3.5,2,4,2,1,2,pending,pending,pending
bateti-lake,shida-kartli,4.5,3,7,4,2,3,pending,pending,pending
batsara-reserve,kakheti,4.0,4,6,2,3,4,pending,pending,pending
batumi-6-may-park-dolphinarium,adjara,4.0,4,6,2,3,4,pending,pending,pending
batumi-alphabetic-tower,adjara,3.5,2,4,2,1,2,pending,pending,pending
batumi-archaeological-museum,adjara,3.0,2,4,2,1,2,pending,pending,pending
batumi-argo-cable-car,adjara,4.0,5,6,1,4,5,pending,pending,pending
