slug,rating,images,target,gap,technical_stars,missing_files,gallery_licenses,gallery_sources
adishi,4.5,4,7,3,5.0,0,4,4
anaklia,4.0,2,6,4,4.0,0,2,2
balda-canyon,4.0,4,6,2,5.0,0,4,4
becho-mazeri,4.5,4,7,3,4.5,0,4,4
chalaadi-glacier,4.5,2,7,5,5.0,0,2,2
dadiani-palace-zugdidi,3.5,4,4,0,4.75,0,4,4
enguri-dam,3.5,1,4,3,5.0,0,1,1
hatsvali-tetnuldi,4.0,4,6,2,4.88,0,4,4
khobi-monastery,3.5,4,4,0,5.0,0,4,4
kolkheti-national-park,5.0,1,8,7,5.0,0,1,1
koruldi-lakes,4.5,2,7,5,5.0,0,2,2
latali-matskhvarishi,3.5,4,4,0,4.88,0,4,4
martvili-canyon,4.0,3,6,3,5.0,0,3,3
mestia,5.0,3,8,5,5.0,0,3,3
nokalakevi,4.0,2,6,4,4.5,0,2,2
oniore-waterfall,4.0,4,6,2,5.0,0,4,4
poti,4.0,5,6,1,4.7,0,5,5
rukhi-fortress,3.0,3,4,1,5.0,0,3,3
salkhino-palace,3.0,4,4,0,4.0,0,4,4
shkhara-glacier,5.0,1,8,7,4.5,0,1,1
svaneti-museum-mestia,3.0,4,4,0,4.12,0,4,4
tobavarchkhili-lakes,4.5,1,7,6,5.0,0,1,1
tsaishi-cathedral,3.0,2,4,2,5.0,0,2,2
tsalenjikha-cathedral,3.5,3,4,1,5.0,0,3,3
ushguli,5.0,5,8,3,4.9,0,5,5
zugdidi-botanical-garden,4.0,1,6,5,5.0,0,1,1
